media	mediana	desviacion	min	max
0.362338	0.225908	0.688057	0	1	
0.303951	0.135537	0.661572	0	0.99963	
0.354176	0.0964487	0.808885	0	1	
0.44983	0.250179	0.856598	0	1	
0.378751	0.155081	0.785023	0	1	
0.364315	0.230079	0.672625	0	0.94913	
0.0972366	0.0419878	0.383105	0.0117233	1	
0.150717	0.0351156	0.545895	0	0.999074	
0.197846	0.0440137	0.598347	0	1	
0.15283	0.0642329	0.478279	0.028136	1	
0.281764	0.0816318	0.718055	0	1	
0.176288	0.0572019	0.570044	0	1	
0.199462	0.0775403	0.536209	0	0.979566	
0.261342	0.0977199	0.548176	0	0.83356	
0.277953	0.0717804	0.624813	0	0.99148	
0.301912	0.0475491	0.749772	0	1	
0.366208	0.0733693	0.834901	0	1	
0.202294	0.0335664	0.64018	0	1	
0.120277	0.0331294	0.403087	0	0.998271	
0.14951	0.0477079	0.448174	0.00234467	1	
0.178596	0.063796	0.47693	0	0.999876	
0.237917	0.0730118	0.650445	0	1	
0.384548	0.103639	0.810677	0	1	
0.309797	0.105307	0.611948	0	0.930362	
0.273589	0.137006	0.498468	0	0.833066	
0.359755	0.332287	0.392047	0.0890973	0.849858	
0.459497	0.419163	0.59242	0.094959	0.950982	
0.483634	0.362517	0.774143	0.0240328	1	
0.526456	0.447009	0.708124	0.0498242	0.999691	
0.485147	0.388973	0.743095	0.049238	1	
0.515391	0.455033	0.666346	0.0820633	1	
0.501518	0.417176	0.740209	0.0293083	1	
0.550664	0.495233	0.68735	0.0679953	0.999815	
0.406368	0.355089	0.576019	0.0328253	0.927707	
0.430904	0.420752	0.491321	0.0973036	0.858192	
0.340545	0.318821	0.342447	0.0691676	0.84387	
0.371871	0.339716	0.30718	0.147714	0.883072	
0.590095	0.559863	0.44058	0.314185	0.973515	
0.577227	0.539326	0.47647	0.273154	0.986789	
0.494224	0.46258	0.428568	0.199297	0.980924	
0.599847	0.555772	0.512793	0.220399	0.994073	
0.608773	0.567014	0.489875	0.262603	0.989258	
0.560549	0.532573	0.409399	0.33939	0.964687	
0.560549	0.532573	0.409399	0.33939	0.964687	
0.192875	0.0264559	0.618876	0	1	
0.477815	0.428378	0.371142	0.509965	0.949994	
0.451738	0.414118	0.345343	0.419695	0.996852	
0.441417	0.412489	0.381874	0.208675	0.996851	
0.361275	0.340431	0.364328	0.192263	0.859612	
0.4414	0.397315	0.456907	0.153576	0.962218	
0.449584	0.400691	0.478398	0.137163	0.963391	
0.449824	0.40081	0.455675	0.19578	0.951105	
0.47801	0.42965	0.516266	0.124267	0.981356	
0.494962	0.463176	0.518572	0.133646	0.992592	
0.459914	0.451617	0.481989	0.178195	0.994073	
0.451453	0.434138	0.388163	0.250879	0.986295	
0.422838	0.397672	0.330213	0.237984	0.951784	
0.440412	0.396758	0.309475	0.427902	0.953883	
0.319816	0.229999	0.524618	0.010551	0.959872	
0.391379	0.16672	0.731073	0.00820633	0.996913	
0.364886	0.216215	0.657036	0.0550996	0.986789	
0.271526	0.0613728	0.607496	0.00937866	1	
0.228953	0.10201	0.477402	0.028136	0.999876	
0.207575	0.072694	0.482318	0.00234467	0.999074	
0.282208	0.0672122	0.632365	0.00117233	1	
0.384013	0.256614	0.710596	0.014068	0.971601	
0.346678	0.193096	0.667575	0	0.9253	
0.341953	0.265989	0.586818	0.00468933	0.991419	
0.114915	0.0378565	0.385583	0.0398593	0.998765	
0.199401	0.0306666	0.636635	0	1	
0.140089	0.0616509	0.455041	0.063306	1	
0.252476	0.0618098	0.663861	0.00937866	1	
0.202763	0.0529515	0.626274	0	1	
0.222729	0.060777	0.583808	0	0.973083	
0.267906	0.148288	0.521832	0	0.873441	
0.273649	0.0820688	0.57527	0	0.981232	
0.293434	0.0409947	0.688201	0	0.9758	
0.31413	0.0643521	0.69545	0.00234467	0.993209	
0.17844	0.0282037	0.515549	0	1	
0.0965487	0.0276476	0.326942	0	0.996851	
0.0930137	0.0370223	0.336967	0.00410317	0.998395	
0.110346	0.0521173	0.340876	0.00762016	0.995123	
0.172206	0.0551363	0.484747	0	0.99963	
0.310942	0.0690792	0.681636	0.00468933	0.999321	
0.289086	0.080599	0.579258	0	0.997901	
0.257729	0.122785	0.471815	0	0.921966	
0.342837	0.322476	0.345658	0.0961313	0.910359	
0.397958	0.39366	0.502085	0.103165	0.97012	
0.418579	0.383848	0.656984	0.0257913	0.990184	
0.422197	0.388973	0.590105	0.056272	0.996049	
0.36566	0.293755	0.579287	0.0293083	0.980306	
0.367203	0.317232	0.507373	0.0644783	0.97296	
0.358413	0.271391	0.573675	0.014068	0.937276	
0.426667	0.369707	0.584767	0.0586166	0.991974	
0.335116	0.27727	0.51245	0.042204	0.94098	
0.363382	0.343211	0.44595	0.162954	0.954439	
0.305893	0.287559	0.304421	0.127784	0.893135	
0.362279	0.335386	0.279119	0.267292	0.897148	
0.50534	0.463017	0.371967	0.50762	0.995802	
0.478992	0.441368	0.398391	0.206331	0.995308	
0.394512	0.354215	0.352218	0.182884	0.847142	
0.477185	0.420076	0.429291	0.234467	0.973824	
0.509929	0.456423	0.431426	0.241501	0.997037	
0.472202	0.4281	0.3496	0.403869	0.978146	
0.472202	0.4281	0.3496	0.403869	0.978146	
0.23842	0.0322952	0.716359	0	1	
0.924404	0.895845	0.508343	0.549824	1	
0.789732	0.774847	0.526023	0.426729	1	
0.797742	0.789147	0.556203	0.446659	0.999815	
0.687443	0.684675	0.517834	0.327081	0.934189	
0.867528	0.858703	0.613593	0.400352	1	
0.932095	0.933662	0.620907	0.276084	1	
0.948529	0.941328	0.58715	0.410903	1	
0.978604	1	0.654131	0.284877	1	
0.970629	0.996425	0.676726	0.328253	1	
0.874253	0.886113	0.681395	0.473622	1	
0.835852	0.815365	0.571325	0.533412	0.999876	
0.758717	0.734369	0.514763	0.413834	0.997284	
0.778717	0.766227	0.480402	0.440797	0.996172	
0.455109	0.370183	0.710608	0.014068	0.996049	
0.52217	0.316835	0.891276	0.052755	1	
0.618296	0.54596	0.88074	0.0832356	1	
0.461423	0.248709	0.815013	0.049238	1	
0.515326	0.39946	0.778372	0.066823	1	
0.43487	0.30166	0.779893	0.0228605	1	
0.45638	0.230555	0.865363	0.0293083	1	
0.62001	0.520815	0.974787	0.0381008	1	
0.423663	0.194884	0.853285	0.000586166	1	
0.430203	0.322277	0.776552	0.0146542	1	
0.0703659	0.0557718	0.13111	0.0134818	0.901593	
0.0955043	0.0438548	0.39721	0	1	
0.0164145	0.0139032	0.0189698	0	0.037412	
0.131406	0.0853261	0.35403	0.0433763	1	
0.266509	0.0891396	0.67172	0.00234467	1	
0.176835	0.0722174	0.568527	0.00234467	1	
0.224288	0.087789	0.615788	0.007034	1	
0.237806	0.0728529	0.533321	0	0.954562	
0.235505	0.0579963	0.589223	0	0.991481	
0.218092	0.0527926	0.627459	0	1	
0.345946	0.0656233	0.81271	0.00937866	1	
0.160299	0.0451259	0.50104	0	1	
0.140886	0.052435	0.46002	0	1	
0.193328	0.0751569	0.535389	0.00586166	1	
0.196399	0.0890601	0.515905	0	1	
0.226955	0.0846508	0.566018	0	1	
0.442008	0.143759	0.85699	0.00468933	1	
0.368189	0.124494	0.750908	0.003517	1	
0.336816	0.179828	0.618237	0.003517	0.923077	
0.496708	0.45972	0.513822	0.141852	0.968515	
0.632039	0.603559	0.7392	0.196952	1	
0.666001	0.607929	0.909147	0.0937866	1	
0.804809	0.80174	0.860175	0.0973036	1	
0.744453	0.743386	0.868636	0.0867526	1	
0.849013	0.853023	0.716888	0.135991	1	
0.782827	0.777786	0.791321	0.0955451	1	
0.874459	0.92095	0.773351	0.136577	1	
0.618682	0.588623	0.724898	0.0885111	0.99963	
0.641815	0.628664	0.649979	0.30129	0.986912	
0.480967	0.452371	0.475193	0.0445487	0.873812	
0.565008	0.551919	0.443211	0.290152	0.893938	
0.930191	0.907444	0.545408	0.662368	1	
0.924361	0.89084	0.582737	0.584408	1	
0.809676	0.776754	0.515547	0.409144	1	
0.982643	0.954119	0.547696	0.417937	1	
1	0.97414	0.555168	0.657679	1	
0.878682	0.845277	0.498175	0.628957	1	
0.878682	0.845277	0.498175	0.628957	1	
0.0068824	0	0.0339373	0	0.14082	
0.626901	0.597164	0.397429	0.329426	0.95413	
0.534196	0.518511	0.410764	0.225674	0.90363	
0.53013	0.497378	0.448798	0.173505	0.881776	
0.443694	0.423612	0.418831	0.128957	0.765156	
0.587375	0.560539	0.51996	0.167644	0.979442	
0.657635	0.619846	0.564053	0.179953	0.999506	
0.661279	0.612735	0.517803	0.188746	0.998765	
0.690108	0.661635	0.57382	0.133646	0.997407	
0.706052	0.694605	0.595291	0.128957	0.991851	
0.614053	0.602209	0.561164	0.0855803	0.971416	
0.591477	0.575197	0.463704	0.131301	0.924373	
0.533143	0.529832	0.414338	0.104338	0.924497	
0.576749	0.574243	0.394243	0.26905	0.943265	
0.232691	0.130531	0.473953	0	0.712927	
0.329552	0.199134	0.624934	0	0.809915	
0.413466	0.184397	0.818238	0	1	
0.447652	0.279137	0.811757	0	0.997037	
0.380491	0.137205	0.811075	0	1	
0.400965	0.289426	0.691585	0	1	
0.364171	0.268928	0.655398	0	1	
0.399185	0.199611	0.822237	0	1	
0.492434	0.339676	0.898644	0	1	
0.401446	0.20545	0.837971	0	1	
0.373234	0.248073	0.73084	0	0.924435	
0.280661	0.178994	0.565241	0	0.780158	
0.0670906	0.0206562	0.349947	0	0.999876	
0.190641	0.0136649	0.583946	0	0.999876	
0.114164	0.0124732	0.493375	0	1	
0.133797	0.010487	0.495127	0	0.995802	
0.107389	0.0390879	0.443309	0	1	
0.23559	0.0417097	0.652039	0	1	
0.113043	0.0269723	0.422152	0	0.934066	
0.14424	0.0340033	0.447335	0	0.965058	
0.246423	0.0791293	0.581994	0	0.839795	
0.258506	0.0486216	0.635294	0	0.959934	
0.274445	0.0258203	0.729791	0	0.999753	
0.372338	0.0940653	0.842338	0	1	
0.209403	0.014936	0.640134	0	1	
0.149132	0.0155716	0.48521	0	1	
0.205448	0.0371812	0.536815	0	1	
0.191879	0.0425836	0.561708	0	0.999197	
0.210334	0.036069	0.613832	0	1	
0.348587	0.079884	0.770589	0	0.999876	
0.274138	0.0508064	0.663972	0	1	
0.265949	0.0605386	0.604132	0	0.913817	
0.23019	0.0724557	0.520785	0	0.75355	
0.361759	0.326011	0.453552	0	0.786702	
0.48663	0.453484	0.657368	0	0.946907	
0.520249	0.437912	0.835264	0	0.999753	
0.5883	0.545801	0.723247	0.0128957	0.985307	
0.5882	0.532692	0.625421	0.0468933	1	
0.522476	0.458727	0.733683	0.021102	0.999383	
0.550935	0.493644	0.67472	0.084408	0.975306	
0.388684	0.311313	0.608659	0.0269637	0.819546	
0.415135	0.372527	0.540774	0.0187573	0.800222	
